file,problem,p,m,q,na,nb,nc,lb,ub
cyclic/cert_cyclic_q05_n06.pb.txt,cyclic_q05_n06,5,1,5,6,6,6,8,-
cyclic/cert_cyclic_q05_n07.pb.txt,cyclic_q05_n07,5,1,5,7,7,7,13,-
cyclic/cert_cyclic_q07_n01.pb.txt,cyclic_q07_n01,7,1,7,1,1,1,1,-
cyclic/cert_cyclic_q07_n02.pb.txt,cyclic_q07_n02,7,1,7,2,2,2,2,-
cyclic/cert_cyclic_q07_n03.pb.txt,cyclic_q07_n03,7,1,7,3,3,3,3,-
cyclic/cert_cyclic_q07_n04.pb.txt,cyclic_q07_n04,7,1,7,4,4,4,5,-
cyclic/cert_cyclic_q07_n05.pb.txt,cyclic_q07_n05,7,1,7,5,5,5,8,-
cyclic/cert_cyclic_q07_n06.pb.txt,cyclic_q07_n06,7,1,7,6,6,6,6,-
cyclic/cert_cyclic_q08_n01.pb.txt,cyclic_q08_n01,2,3,8,1,1,1,1,-
cyclic/cert_cyclic_q08_n02.pb.txt,cyclic_q08_n02,2,3,8,2,2,2,3,-
cyclic/cert_cyclic_q08_n03.pb.txt,cyclic_q08_n03,2,3,8,3,3,3,4,-
cyclic/cert_cyclic_q08_n04.pb.txt,cyclic_q08_n04,2,3,8,4,4,4,7,-
cyclic/cert_cyclic_q08_n05.pb.txt,cyclic_q08_n05,2,3,8,5,5,5,8,-
cyclic/cert_cyclic_q08_n06.pb.txt,cyclic_q08_n06,2,3,8,6,6,6,10,-
cyclic/cert_cyclic_q09_n01.pb.txt,cyclic_q09_n01,3,2,9,1,1,1,1,-
cyclic/cert_cyclic_q09_n02.pb.txt,cyclic_q09_n02,3,2,9,2,2,2,2,-
cyclic/cert_cyclic_q09_n03.pb.txt,cyclic_q09_n03,3,2,9,3,3,3,5,-
cyclic/cert_cyclic_q09_n04.pb.txt,cyclic_q09_n04,3,2,9,4,4,4,4,-
cyclic/cert_cyclic_q09_n05.pb.txt,cyclic_q09_n05,3,2,9,5,5,5,7,-
cyclic/cert_cyclic_q11_n01.pb.txt,cyclic_q11_n01,11,1,11,1,1,1,1,-
cyclic/cert_cyclic_q11_n02.pb.txt,cyclic_q11_n02,11,1,11,2,2,2,2,-
cyclic/cert_cyclic_q11_n03.pb.txt,cyclic_q11_n03,11,1,11,3,3,3,4,-
cyclic/cert_cyclic_q11_n04.pb.txt,cyclic_q11_n04,11,1,11,4,4,4,5,-
cyclic/cert_cyclic_q11_n05.pb.txt,cyclic_q11_n05,11,1,11,5,5,5,5,-
